model_name,steer_type,zone,source_family,layer_idx,alpha,target_hit_pct,random_target_hit_pct,original_pct,random_original_pct,mixed_pct,random_mixed_pct,n
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,24,2.0,0.9166666666666666,0.0,0.0,0.6666666666666666,0.08333333333333333,0.3333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,24,3.0,0.75,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,26,0.5,0.9166666666666666,0.0,0.0,1.0,0.08333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,26,1.0,1.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,26,1.5,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,26,2.0,0.9166666666666666,0.0,0.0,0.5833333333333334,0.08333333333333333,0.4166666666666667,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,26,3.0,0.75,0.0,0.0,0.25,0.25,0.75,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,28,0.5,0.75,0.0,0.0,1.0,0.25,0.0,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,28,1.0,1.0,0.0,0.0,0.75,0.0,0.25,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,28,1.5,0.9166666666666666,0.0,0.0,0.6666666666666666,0.08333333333333333,0.3333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,28,2.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,28,3.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,30,0.5,0.4166666666666667,0.0,0.0,0.9166666666666666,0.5833333333333334,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,30,1.0,1.0,0.0,0.0,0.75,0.0,0.25,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,30,1.5,1.0,0.0,0.0,0.4166666666666667,0.0,0.5833333333333334,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,30,2.0,1.0,0.0,0.0,0.0,0.0,1.0,12
meta-llama/Meta-Llama-3-8B,entity_late,late,opposite,30,3.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,1.0,12
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,22,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,22,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,22,1.5,1.0,0.0,0.0,0.7619047619047619,0.0,0.23809523809523808,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,22,2.0,1.0,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,22,3.0,0.7142857142857143,0.0,0.0,0.09523809523809523,0.2857142857142857,0.9047619047619048,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,24,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,24,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,24,1.5,1.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,24,2.0,1.0,0.0,0.0,0.38095238095238093,0.0,0.6190476190476191,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,24,3.0,0.7142857142857143,0.0,0.0,0.09523809523809523,0.2857142857142857,0.9047619047619048,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,26,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,26,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,26,1.5,1.0,0.0,0.0,0.6190476190476191,0.0,0.38095238095238093,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,26,2.0,0.9523809523809523,0.0,0.0,0.42857142857142855,0.047619047619047616,0.5714285714285714,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,26,3.0,0.47619047619047616,0.0,0.0,0.19047619047619047,0.5238095238095238,0.8095238095238095,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,28,0.5,1.0,0.0,0.0,0.9523809523809523,0.0,0.047619047619047616,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,28,1.0,1.0,0.0,0.0,0.8095238095238095,0.0,0.19047619047619047,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,28,1.5,1.0,0.0,0.0,0.5238095238095238,0.0,0.47619047619047616,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,28,2.0,0.9523809523809523,0.0,0.0,0.42857142857142855,0.047619047619047616,0.5714285714285714,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,28,3.0,0.8095238095238095,0.0,0.0,0.2857142857142857,0.19047619047619047,0.7142857142857143,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,30,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,30,1.0,1.0,0.0,0.0,0.7619047619047619,0.0,0.23809523809523808,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,30,1.5,1.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,30,2.0,0.9523809523809523,0.0,0.0,0.3333333333333333,0.047619047619047616,0.6666666666666666,21
meta-llama/Meta-Llama-3-8B,entity_late,late,past_tense,30,3.0,0.9523809523809523,0.0,0.0,0.047619047619047616,0.047619047619047616,0.9523809523809523,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,22,0.5,0.9523809523809523,0.0,0.047619047619047616,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,22,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,22,1.5,1.0,0.0,0.0,0.9523809523809523,0.0,0.047619047619047616,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,22,2.0,0.9523809523809523,0.0,0.0,0.7142857142857143,0.047619047619047616,0.2857142857142857,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,22,3.0,0.9047619047619048,0.0,0.0,0.09523809523809523,0.09523809523809523,0.9047619047619048,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,24,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,24,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,24,1.5,1.0,0.0,0.0,0.9047619047619048,0.0,0.09523809523809523,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,24,2.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,24,3.0,0.8095238095238095,0.0,0.0,0.047619047619047616,0.19047619047619047,0.9523809523809523,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,26,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,26,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,26,1.5,1.0,0.0,0.0,0.9047619047619048,0.0,0.09523809523809523,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,26,2.0,0.9523809523809523,0.0,0.0,0.6666666666666666,0.047619047619047616,0.3333333333333333,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,26,3.0,0.8095238095238095,0.0,0.0,0.0,0.19047619047619047,1.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,28,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,28,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,28,1.5,1.0,0.0,0.0,0.9047619047619048,0.0,0.09523809523809523,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,28,2.0,0.9523809523809523,0.0,0.0,0.47619047619047616,0.047619047619047616,0.5238095238095238,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,28,3.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,1.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,30,0.5,1.0,0.0,0.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,30,1.0,1.0,0.0,0.0,0.9523809523809523,0.0,0.047619047619047616,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,30,1.5,1.0,0.0,0.0,0.47619047619047616,0.0,0.5238095238095238,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,30,2.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,21
meta-llama/Meta-Llama-3-8B,entity_late,late,present_participle,30,3.0,0.9047619047619048,0.0,0.0,0.0,0.09523809523809523,1.0,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,8,0.5,0.0,0.0,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,8,1.0,0.0,0.0,0.7272727272727273,0.9090909090909091,0.2727272727272727,0.09090909090909091,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,8,1.5,0.0,0.0,0.6363636363636364,0.7878787878787878,0.36363636363636365,0.21212121212121213,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,8,2.0,0.0,0.0,0.6060606060606061,0.7575757575757576,0.3939393939393939,0.24242424242424243,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,8,3.0,0.0,0.0,0.21212121212121213,0.42424242424242425,0.7878787878787878,0.5757575757575758,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,10,0.5,0.0,0.0,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,10,1.0,0.0,0.0,0.6666666666666666,0.9090909090909091,0.3333333333333333,0.09090909090909091,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,10,1.5,0.0,0.0,0.6363636363636364,0.8484848484848485,0.36363636363636365,0.15151515151515152,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,10,2.0,0.0,0.0,0.42424242424242425,0.7575757575757576,0.5757575757575758,0.24242424242424243,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,10,3.0,0.0,0.0,0.12121212121212122,0.18181818181818182,0.8787878787878788,0.8181818181818182,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,12,0.5,0.0,0.0,0.9393939393939394,0.9696969696969697,0.06060606060606061,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,12,1.0,0.0,0.0,0.6363636363636364,0.9696969696969697,0.36363636363636365,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,12,1.5,0.030303030303030304,0.0,0.5454545454545454,0.9696969696969697,0.42424242424242425,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,12,2.0,0.06060606060606061,0.0,0.2727272727272727,0.9090909090909091,0.6666666666666666,0.09090909090909091,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,12,3.0,0.0,0.0,0.030303030303030304,0.21212121212121213,0.9696969696969697,0.7878787878787878,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,14,0.5,0.0,0.0,0.8181818181818182,1.0,0.18181818181818182,0.0,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,14,1.0,0.21212121212121213,0.0,0.3333333333333333,0.9696969696969697,0.45454545454545453,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,14,1.5,0.3939393939393939,0.0,0.06060606060606061,0.9696969696969697,0.5454545454545454,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,14,2.0,0.3333333333333333,0.0,0.0,0.6060606060606061,0.6666666666666666,0.3939393939393939,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,14,3.0,0.06060606060606061,0.0,0.0,0.0,0.9393939393939394,1.0,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,16,0.5,0.24242424242424243,0.0,0.24242424242424243,1.0,0.5151515151515151,0.0,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,16,1.0,0.7272727272727273,0.0,0.0,1.0,0.2727272727272727,0.0,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,16,1.5,0.48484848484848486,0.0,0.0,0.7575757575757576,0.5151515151515151,0.24242424242424243,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,16,2.0,0.30303030303030304,0.0,0.0,0.18181818181818182,0.696969696969697,0.8181818181818182,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,capital,16,3.0,0.0,0.0,0.0,0.030303030303030304,1.0,0.9696969696969697,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,8,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,8,1.5,0.0,0.0,1.0,0.9166666666666666,0.0,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,8,2.0,0.0,0.0,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.5833333333333334,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,8,3.0,0.0,0.0,0.0,0.08333333333333333,1.0,0.9166666666666666,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,10,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,10,1.5,0.0,0.0,0.9166666666666666,0.75,0.08333333333333333,0.25,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,10,2.0,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,10,3.0,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,1.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,12,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,12,1.5,0.0,0.0,0.75,0.75,0.25,0.25,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,12,2.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,12,3.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,1.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,14,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,14,1.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,14,1.5,0.0,0.0,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.5833333333333334,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,14,2.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,1.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,14,3.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,1.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,16,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,16,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,16,1.5,0.4166666666666667,0.0,0.0,0.75,0.5833333333333334,0.25,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,16,2.0,0.3333333333333333,0.0,0.0,0.25,0.6666666666666666,0.75,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,comparative,16,3.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,8,0.5,0.0,0.0,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,8,1.0,0.0,0.0,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,8,1.5,0.0,0.0,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,8,2.0,0.06060606060606061,0.0,0.8787878787878788,0.9393939393939394,0.06060606060606061,0.06060606060606061,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,8,3.0,0.45454545454545453,0.0,0.06060606060606061,0.7272727272727273,0.48484848484848486,0.2727272727272727,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,10,0.5,0.0,0.0,0.9696969696969697,1.0,0.030303030303030304,0.0,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,10,1.0,0.0,0.0,0.9393939393939394,0.9696969696969697,0.06060606060606061,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,10,1.5,0.12121212121212122,0.0,0.8484848484848485,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,10,2.0,0.3333333333333333,0.0,0.48484848484848486,0.8484848484848485,0.18181818181818182,0.15151515151515152,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,10,3.0,0.15151515151515152,0.0,0.06060606060606061,0.18181818181818182,0.7878787878787878,0.8181818181818182,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,12,0.5,0.0,0.0,0.9696969696969697,1.0,0.030303030303030304,0.0,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,12,1.0,0.0,0.0,0.9696969696969697,1.0,0.030303030303030304,0.0,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,12,1.5,0.18181818181818182,0.0,0.696969696969697,0.9696969696969697,0.12121212121212122,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,12,2.0,0.3333333333333333,0.0,0.36363636363636365,0.9090909090909091,0.30303030303030304,0.09090909090909091,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,12,3.0,0.12121212121212122,0.0,0.030303030303030304,0.2727272727272727,0.8484848484848485,0.7272727272727273,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,14,0.5,0.09090909090909091,0.0,0.8484848484848485,0.9696969696969697,0.06060606060606061,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,14,1.0,0.8787878787878788,0.0,0.06060606060606061,0.9696969696969697,0.06060606060606061,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,14,1.5,0.9090909090909091,0.0,0.030303030303030304,0.9090909090909091,0.06060606060606061,0.09090909090909091,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,14,2.0,0.5454545454545454,0.030303030303030304,0.0,0.5454545454545454,0.45454545454545453,0.42424242424242425,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,14,3.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.9393939393939394,0.9696969696969697,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,16,0.5,0.7575757575757576,0.0,0.24242424242424243,0.9696969696969697,0.0,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,16,1.0,0.9393939393939394,0.0,0.0,0.9696969696969697,0.06060606060606061,0.030303030303030304,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,16,1.5,0.8484848484848485,0.0,0.0,0.9090909090909091,0.15151515151515152,0.09090909090909091,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,16,2.0,0.42424242424242425,0.0,0.0,0.45454545454545453,0.5757575757575758,0.5454545454545454,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,language,16,3.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.9090909090909091,0.9696969696969697,33
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,8,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,8,1.5,0.0,0.0,0.9166666666666666,1.0,0.08333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,8,2.0,0.08333333333333333,0.0,0.5,1.0,0.4166666666666667,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,8,3.0,0.0,0.0,0.16666666666666666,0.5833333333333334,0.8333333333333334,0.4166666666666667,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,10,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,10,1.5,0.0,0.0,0.75,1.0,0.25,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,10,2.0,0.08333333333333333,0.0,0.4166666666666667,0.9166666666666666,0.5,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,10,3.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,12,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,12,1.0,0.0,0.0,0.9166666666666666,1.0,0.08333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,12,1.5,0.08333333333333333,0.0,0.5833333333333334,1.0,0.3333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,12,2.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,12,3.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,14,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,14,1.0,0.16666666666666666,0.0,0.5833333333333334,1.0,0.25,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,14,1.5,0.3333333333333333,0.0,0.25,1.0,0.4166666666666667,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,14,2.0,0.16666666666666666,0.0,0.16666666666666666,0.9166666666666666,0.6666666666666666,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,14,3.0,0.0,0.0,0.0,0.25,1.0,0.75,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,16,0.5,0.0,0.0,1.0,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,16,1.0,0.5,0.0,0.16666666666666666,1.0,0.3333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,16,1.5,0.5833333333333334,0.0,0.0,0.9166666666666666,0.4166666666666667,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,16,2.0,0.4166666666666667,0.0,0.0,0.6666666666666666,0.5833333333333334,0.3333333333333333,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,opposite,16,3.0,0.25,0.0,0.0,0.16666666666666666,0.75,0.8333333333333334,12
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,8,0.5,0.0,0.0,1.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,8,1.5,0.0,0.0,0.9523809523809523,0.9523809523809523,0.047619047619047616,0.047619047619047616,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,8,2.0,0.0,0.0,0.7142857142857143,0.5238095238095238,0.2857142857142857,0.47619047619047616,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,8,3.0,0.0,0.0,0.0,0.0,1.0,1.0,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,10,0.5,0.0,0.0,1.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,10,1.0,0.0,0.0,1.0,0.9523809523809523,0.0,0.047619047619047616,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,10,1.5,0.0,0.0,0.8095238095238095,0.6190476190476191,0.19047619047619047,0.38095238095238093,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,10,2.0,0.0,0.0,0.23809523809523808,0.23809523809523808,0.7619047619047619,0.7619047619047619,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,10,3.0,0.0,0.0,0.0,0.047619047619047616,1.0,0.9523809523809523,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,12,0.5,0.0,0.0,1.0,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,12,1.0,0.0,0.0,0.8571428571428571,0.8095238095238095,0.14285714285714285,0.19047619047619047,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,12,1.5,0.0,0.0,0.2857142857142857,0.19047619047619047,0.7142857142857143,0.8095238095238095,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,12,2.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.9523809523809523,0.9523809523809523,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,12,3.0,0.0,0.0,0.0,0.0,1.0,1.0,21
meta-llama/Meta-Llama-3-8B,entity_mid,mid,past_tense,14,0.5,0.0,0.0,1.0,1.0,0.0,0.0,21
